s_m,m_kg_per_m,EI_Nm2,d_m
0.000,2.20e-4,0.050,0.00050
0.685,1.50e-4,0.030,0.00043
1.370,1.00e-4,0.018,0.00035
2.055,6.00e-5,0.010,0.00027
2.740,3.50e-5,0.005,0.00020
